Language,Size,Characteristic,Repetition,Time_ms
Java,1000000,nearly_sorted,28,1.226000
Java,1000000,nearly_sorted,29,1.185900
Java,1000000,nearly_sorted,30,1.166000
Java,2000000,random,1,140.662600
Java,2000000,random,2,60.357900
Java,2000000,random,3,125.013400
Java,2000000,random,4,120.839000
Java,2000000,random,5,100.982900
Java,2000000,random,6,137.872200
Java,2000000,random,7,102.109700
Java,2000000,random,8,114.876300
Java,2000000,random,9,89.129400
Java,2000000,random,10,70.748600
Java,2000000,random,11,374.349000
Java,2000000,random,12,217.770600
Java,2000000,random,13,483.106700
Java,2000000,random,14,501.923900
Java,2000000,random,15,382.001200
Java,2000000,random,16,239.926000
Java,2000000,random,17,203.995400
Java,2000000,random,18,212.114500
Java,2000000,random,19,203.542000
Java,2000000,random,20,218.281300
Java,2000000,random,21,238.915300
Java,2000000,random,22,173.975500
Java,2000000,random,23,205.501800
Java,2000000,random,24,263.595200
Java,2000000,random,25,159.406500
Java,2000000,random,26,237.764100
Java,2000000,random,27,166.915100
Java,2000000,random,28,167.956000
Java,2000000,random,29,240.853300
Java,2000000,random,30,186.516600
Java,2000000,reversed,1,1.471300
Java,2000000,reversed,2,1.740500
Java,2000000,reversed,3,1.416400
Java,2000000,reversed,4,1.765100
Java,2000000,reversed,5,1.535600
Java,2000000,reversed,6,1.461400
Java,2000000,reversed,7,1.920100
Java,2000000,reversed,8,1.437800
Java,2000000,reversed,9,1.686800
Java,2000000,reversed,10,1.434200
Java,2000000,reversed,11,1.845300
Java,2000000,reversed,12,1.541000
Java,2000000,reversed,13,1.835400
Java,2000000,reversed,14,2.447200
Java,2000000,reversed,15,1.437200
Java,2000000,reversed,16,2.325200
Java,2000000,reversed,17,2.692800
Java,2000000,reversed,18,1.652000
Java,2000000,reversed,19,1.997000
Java,2000000,reversed,20,2.138400
Java,2000000,reversed,21,1.704600
Java,2000000,reversed,22,2.023900
Java,2000000,reversed,23,2.055500
Java,2000000,reversed,24,1.758300
Java,2000000,reversed,25,1.668600
Java,2000000,reversed,26,1.547500
Java,2000000,reversed,27,1.627800
Java,2000000,reversed,28,1.923700
Java,2000000,reversed,29,1.441900
Java,2000000,reversed,30,2.583600
Java,2000000,nearly_sorted,1,4.530000
Java,2000000,nearly_sorted,2,4.060900
Java,2000000,nearly_sorted,3,5.254900
Java,2000000,nearly_sorted,4,4.130300
Java,2000000,nearly_sorted,5,3.450700
Java,2000000,nearly_sorted,6,3.305900
Java,2000000,nearly_sorted,7,3.265500
Java,2000000,nearly_sorted,8,2.934000
Java,2000000,nearly_sorted,9,2.852600
Java,2000000,nearly_sorted,10,3.519000
Java,2000000,nearly_sorted,11,4.002300
Java,2000000,nearly_sorted,12,4.264900
Java,2000000,nearly_sorted,13,3.714700
Java,2000000,nearly_sorted,14,3.466300
Java,2000000,nearly_sorted,15,3.455300
Java,2000000,nearly_sorted,16,3.936200
Java,2000000,nearly_sorted,17,3.352300
Java,2000000,nearly_sorted,18,3.249400
Java,2000000,nearly_sorted,19,3.008100
Java,2000000,nearly_sorted,20,4.595700
Java,2000000,nearly_sorted,21,4.613200
Java,2000000,nearly_sorted,22,3.744500
Java,2000000,nearly_sorted,23,4.520600
Java,2000000,nearly_sorted,24,4.716500
Java,2000000,nearly_sorted,25,3.922000
Java,2000000,nearly_sorted,26,3.728700
Java,2000000,nearly_sorted,27,3.589800
Java,2000000,nearly_sorted,28,2.864700
Java,2000000,nearly_sorted,29,3.627700
Java,2000000,nearly_sorted,30,4.339800
