Language,Size,Characteristic,Repetition,Time_ms
Python,2000000,nearly_sorted,2,138.597743
Python,2000000,nearly_sorted,3,157.379894
Python,2000000,nearly_sorted,4,183.155454
Python,2000000,nearly_sorted,5,258.716689
Python,2000000,nearly_sorted,6,196.097969
Python,2000000,nearly_sorted,7,179.38148
Python,2000000,nearly_sorted,8,182.872393
Python,2000000,nearly_sorted,9,170.387048
Python,2000000,nearly_sorted,10,177.005739
Python,2000000,nearly_sorted,11,151.534681
Python,2000000,nearly_sorted,12,189.510506
Python,2000000,nearly_sorted,13,163.172756
Python,2000000,nearly_sorted,14,158.83312
Python,2000000,nearly_sorted,15,168.224548
Python,2000000,nearly_sorted,16,183.664941
Python,2000000,nearly_sorted,17,157.119873
Python,2000000,nearly_sorted,18,158.053505
Python,2000000,nearly_sorted,19,185.46185
Python,2000000,nearly_sorted,20,173.402349
Python,2000000,nearly_sorted,21,207.000403
Python,2000000,nearly_sorted,22,145.889711
Python,2000000,nearly_sorted,23,148.860891
Python,2000000,nearly_sorted,24,143.495458
Python,2000000,nearly_sorted,25,152.225752
Python,2000000,nearly_sorted,26,155.078796
Python,2000000,nearly_sorted,27,147.337498
Python,2000000,nearly_sorted,28,177.105071
Python,2000000,nearly_sorted,29,161.341296
Python,2000000,nearly_sorted,30,137.174953
